n,classifier,config_hash,cov_cls,cov_wppi,mse_cls,mse_wppi
50,Logistic Regression,ccc1a51c,0.7352000000000001,0.852,0.005522335559769999,0.002914131978238172
100,Logistic Regression,ccc1a51c,0.6072000000000001,0.8543999999999999,0.004040748512750724,0.0015423555721947723
200,Logistic Regression,ccc1a51c,0.4616,0.8647999999999999,0.003110260143439518,0.0007579528199073647
300,Logistic Regression,ccc1a51c,0.36960000000000004,0.8664,0.0025723065751226386,0.0004950421984980796
400,Logistic Regression,ccc1a51c,0.232,0.824,0.0027616831514169463,0.00046069642863809656
500,Logistic Regression,ccc1a51c,0.14,0.8152,0.002693278371647466,0.00037245008335304997
50,MLP (64×64),65704362,0.7352000000000001,0.8575999999999999,0.005522335559769999,0.0029122753312324145
100,MLP (64×64),65704362,0.6072000000000001,0.8536,0.004040748512750724,0.0015461006937809306
200,MLP (64×64),65704362,0.4616,0.8655999999999999,0.003110260143439518,0.0007595554899390612
300,MLP (64×64),65704362,0.36960000000000004,0.856,0.0025723065751226386,0.0005005880235700698
400,MLP (64×64),65704362,0.232,0.8008,0.0027616831514169463,0.0004726071201798658
500,MLP (64×64),65704362,0.14,0.7936,0.002693278371647466,0.0003836467401386243
50,Random Forest,98f2e5f8,0.7352000000000001,0.832,0.005522335559769999,0.0028922787375036635
100,Random Forest,98f2e5f8,0.6072000000000001,0.8368000000000001,0.004040748512750724,0.0015215121153876441
200,Random Forest,98f2e5f8,0.4616,0.8336,0.003110260143439518,0.0007729662559950479
300,Random Forest,98f2e5f8,0.36960000000000004,0.848,0.0025723065751226386,0.0004962814792544301
400,Random Forest,98f2e5f8,0.232,0.7824,0.0027616831514169463,0.000484525929784704
500,Random Forest,98f2e5f8,0.14,0.7896,0.002693278371647466,0.00038781986864339524
