n,eps,config_hash,cov_cls,cov_wppi,mse_cls,mse_wppi
50,0.001,65c7a404,0.7352000000000001,0.852,0.005522335559769999,0.002893862274618433
100,0.001,65c7a404,0.6072000000000001,0.8536,0.004040748512750724,0.001547252573286827
200,0.001,65c7a404,0.4616,0.8687999999999999,0.003110260143439518,0.0007559174263861248
300,0.001,65c7a404,0.36960000000000004,0.8664000000000001,0.0025723065751226386,0.0004962482914378346
400,0.001,65c7a404,0.232,0.82,0.0027616831514169463,0.0004656116361208866
500,0.001,65c7a404,0.14,0.816,0.002693278371647466,0.0003726146414012106
50,0.01,ccc1a51c,0.7352000000000001,0.8503999999999999,0.005522335559769999,0.0029560147981879384
100,0.01,ccc1a51c,0.6072000000000001,0.8503999999999999,0.004040748512750724,0.0015510156300893312
200,0.01,ccc1a51c,0.4616,0.8655999999999999,0.003110260143439518,0.000760403801525038
300,0.01,ccc1a51c,0.36960000000000004,0.8648,0.0025723065751226386,0.000492774208428724
400,0.01,ccc1a51c,0.232,0.8232,0.0027616831514169463,0.0004619956017798429
500,0.01,ccc1a51c,0.14,0.8168,0.002693278371647466,0.0003723053813774494
50,0.05,92f5ef81,0.7352000000000001,0.856,0.005522335559769999,0.0029133789706806417
100,0.05,92f5ef81,0.6072000000000001,0.8543999999999999,0.004040748512750724,0.0015438558039884713
200,0.05,92f5ef81,0.4616,0.868,0.003110260143439518,0.0007570442433042123
300,0.05,92f5ef81,0.36960000000000004,0.8647999999999999,0.0025723065751226386,0.0004951426621867827
400,0.05,92f5ef81,0.232,0.8175999999999999,0.0027616831514169463,0.00046244585465919397
500,0.05,92f5ef81,0.14,0.8184000000000001,0.002693278371647466,0.00037228596892725985
50,0.1,25381d98,0.7352000000000001,0.8504,0.005522335559769999,0.002855006182573589
100,0.1,25381d98,0.6072000000000001,0.8480000000000001,0.004040748512750724,0.0015325875117892043
200,0.1,25381d98,0.4616,0.8647999999999999,0.003110260143439518,0.0007509965178413145
300,0.1,25381d98,0.36960000000000004,0.86,0.0025723065751226386,0.0004938399529071492
400,0.1,25381d98,0.232,0.8176,0.0027616831514169463,0.0004641436362758882
500,0.1,25381d98,0.14,0.8136,0.002693278371647466,0.0003721616691872308
50,0.2,065bca6c,0.7352000000000001,0.828,0.005522335559769999,0.0027509283798991483
100,0.2,065bca6c,0.6072000000000001,0.8336,0.004040748512750724,0.0014781186217477824
200,0.2,065bca6c,0.4616,0.8376,0.003110260143439518,0.0007679149412176309
300,0.2,065bca6c,0.36960000000000004,0.8432000000000001,0.0025723065751226386,0.0004964609411350007
400,0.2,065bca6c,0.232,0.772,0.0027616831514169463,0.0004896693958310311
500,0.2,065bca6c,0.14,0.7744000000000001,0.002693278371647466,0.0003962761350589289
