n,beta,config_hash,cov_cls,cov_wppi,mse_cls,mse_wppi
50,0.0,9aee04ef,0.8816,0.8712,0.0037279801428085194,0.002631692809587873
100,0.0,9aee04ef,0.9096,0.9056,0.0016996701309108175,0.0012307380672659234
200,0.0,9aee04ef,0.9087999999999999,0.9047999999999999,0.0009166044031444471,0.000596180575045343
300,0.0,9aee04ef,0.8887999999999999,0.888,0.0006318682274722959,0.00042008806200376594
400,0.0,9aee04ef,0.9151999999999999,0.9047999999999999,0.0004407770750767668,0.00029319769214534097
500,0.0,9aee04ef,0.9064000000000001,0.9112,0.0003534932522670715,0.000232257281308447
50,0.5,0b85777c,0.8255999999999999,0.884,0.004466171034029685,0.0026990651095305045
100,0.5,0b85777c,0.8184000000000001,0.8896,0.002316741720191203,0.0012767302302754341
200,0.5,0b85777c,0.7487999999999999,0.888,0.0015080994222516893,0.0006484255440269536
300,0.5,0b85777c,0.6976,0.8872000000000001,0.0011946164136970765,0.0004535068164246783
400,0.5,0b85777c,0.6167999999999999,0.8672000000000001,0.0011875491611353936,0.00035668949976138233
500,0.5,0b85777c,0.5824,0.8727999999999999,0.0009670441375055816,0.0002773226747367257
50,1.0,ccc1a51c,0.7352000000000001,0.8528000000000001,0.005522335559769999,0.0029184926789033324
100,1.0,ccc1a51c,0.6072000000000001,0.852,0.004040748512750724,0.0015550816942901976
200,1.0,ccc1a51c,0.4616,0.8656,0.003110260143439518,0.0007559157181916092
300,1.0,ccc1a51c,0.36960000000000004,0.8664,0.0025723065751226386,0.0004982592546082061
400,1.0,ccc1a51c,0.232,0.8208,0.0027616831514169463,0.00046210282747367084
500,1.0,ccc1a51c,0.14,0.8176,0.002693278371647466,0.00037146898040744887
50,2.0,1205cb51,0.5224000000000001,0.8463999999999999,0.009587376520677935,0.003879617887982329
100,2.0,1205cb51,0.26880000000000004,0.804,0.00868174092080153,0.0022738193802197266
200,2.0,1205cb51,0.06720000000000002,0.8072,0.0079402437396202,0.0011110352826168611
300,2.0,1205cb51,0.02,0.7335999999999999,0.007591172953601927,0.0009930400771935772
400,2.0,1205cb51,0.008,0.7248,0.00731556951906532,0.0007410290994956237
500,2.0,1205cb51,0.0016,0.6904000000000001,0.007198190806433558,0.0006566852952297418
50,3.0,25de9165,0.31120000000000003,0.8008,0.01441618653293699,0.004910112801210051
100,3.0,25de9165,0.09519999999999999,0.7504000000000001,0.012869996669469402,0.00278798426717292
200,3.0,25de9165,0.0064,0.692,0.01305514114489779,0.001985518305996751
300,3.0,25de9165,0.0,0.6504,0.012391532712616027,0.0015022026734363796
400,3.0,25de9165,0.0,0.6144000000000001,0.012228350076824426,0.0012786570416035074
500,3.0,25de9165,0.0,0.5512,0.012206356022506953,0.0012019228431169417
